Запросы waystea.ru по данным Яндекс.Вебмастера
======================================================================
Всего запросов: 592
Показов: 1382
Кликов: 43

 показы  клики  позиция  запрос
      3      0     10.7  темный улун
      3      0      3.3  уи жоу гуй
      3      0     11.3  цзинь хао дянь хун
      3      0     13.0  9978 пуэр
      3      0      3.0  сагалай далай чай купить
      3      0      4.3  чай маленький зеленый мандарин
      3      0     12.7  югуанбай чай
      3      0      7.0  как правильно держать пиалу с чаем
      3      0      8.0  магазин китайских чаев пермь
      3      0     10.7  чай сайган даля
      3      1      5.0  алишань экстра
      3      0     10.3  цзинь хао дянь хун золотой руэ о чае
      3      0      8.7  эффект красного чая
      3      0      5.0  магазины в самаре где продают китайский чай
      3      1     13.0  чай саган дайли
      3      0     12.0  магазин китайского чая казань
      3      0     12.7  пиала для чая в азиатском стиле
      3      0      6.7  где купить вкусный чай для заваривания в мегаторге во владимире
      3      0     12.3  китайская матча
      3      0      4.0  бай линь гун фу
      3      0     11.3  как выбрать качественную пиалу
      3      1      1.3  красный чай гуйчжоуский
      2      0      9.5  чай зеленая улитка купить
      2      0      9.0  ча хэ
      2      0      9.5  ферментированный красный чай
      2      0     12.5  чай китайский уфа
      2      0     12.0  тегуаньинь 铁观音茶 62402
      2      0     22.0  yerba mate купить
      2      0      9.5  саган-дайля цена
      2      0      9.5  сангал чай
      2      0     12.5  в чем осоьенность шу пуэр пан чжан
      2      0     12.5  най сян цзинь сюань молочный улун описание
      2      0     10.5  деревянный венчик для матчи название
      2      0     11.0  хун ло как заваривать
      2      0     12.0  где купить китайский чай в казани
      2      0      8.5  в красном чае есть кофеин?
      2      0      7.0  вкусный чай во владимире
      2      0      9.5  саган дайля чай саратов
      2      0     10.0  венчик для взбивая чай матча
      2      0      9.0  часэн венчик
      2      0     11.5  заваривающийся термос
      2      0      5.0  шу пуэр хайвань 1975 года цена
      2      0     10.5  санан чай
      2      0     13.0  пиала из нефрита
      2      0     11.5  чай из бурятии саган-дайля
      2      1      2.0  чай шен пуэр сяо то цяо му хайвань
      2      0     12.5  китайский чай в казани
      2      0     10.0  саган купить
      2      0      3.0  гайвань для чая купить розовая ручная роспись
      2      0     19.5  ситечко для заваривания чая в термосе bobber купить
      2      0     11.5  сяо цинь гань история
      2      0      5.5  алишань экстра что за чай
      2      0      7.0  рододендрон байкальский
      2      0      5.0  сорт чая бурятский
      2      0      7.5  как переводятся названия чаев на китайский
      2      0      7.5  саган-дайля чай свойства купить улан -удэ
      2      0      9.5  шу пуэр чень юнь
      2      0      8.0  как выглядит белый чай лао бай ча
      2      0      9.0  саган даля чай
      2      0      7.0  9948 — шэн-пуэр чай
      2      0     11.0  дикий зеленый чай е шен люй он выдержанный или нет
      2      0     25.5  кимун чай купить
      2      0      4.0  как выбрать заварить наука
      2      0      2.5  бань чжан лао 2008 357 шу чунь
      2      0     18.0  samadoyo заварочный чайник
      2      0     10.0  какая матча не красит зубы
      2      0      9.5  красный чай ци мень купить
      2      0      5.0  чай для термоса в шариках
      2      0     14.5  чай сагаан дали
      2      0     31.0  пуэр в мандарине цена
      2      0     10.0  улитка зелена
      2      1     11.5  чай саган
      2      0     12.0  саган дайля в сортавале
      2      0      3.0  цин мао чай
      2      0      4.0  много ли кофеина в красном чае
      2      0     12.0  купить чай с салган дайля
      2      0     10.0  чайная церемония
      2      0      7.5  чай бодрящий из бурятии название связанный с птицей
      2      0      9.0  сайгон дайля чай
      2      0      8.0  лао шоу мэй какой чай
      2      0     15.5  фхдц чай
      2      0      9.0  guang'anmen чай
      2      0     11.0  най сянь дзинь сюань
      2      0      5.5  бурятский чай с гор
      2      1      3.5  бараний жир нефрит
      2      0      9.5  смола шу пуэра с хризантемой
      2      0     12.0  купить китайский чай в казани
      2      0      9.5  чай фен хуан дань цун фхдц
      2      0      6.5  трава с байкала саган дайля
      2      0     16.5  юэ гуан бай чай
      2      0     11.0  чай матча премиум 250 гр (шт) амур
      2      0     11.0  что такое габа чай
      2      0     27.5  термос с ситечком для заваривания чая купить
      2      1      1.5  ways tea
      2      0      6.5  где во владимире можно попить.чай пуэр
      2      0     21.0  купить мед цветочный саган двлья бурятский
      2      0      3.0  юньнаньский красный чай с золотым пушком
      2      2      1.0  шу пуэр сён фен
      2      0     10.0  чай на развес владимир
      2      0      4.0  купить китайский чай во владимире
      2      0      9.5  «дянь хун золотой
      2      0      7.0  купить чай саган дали 100 грамм
      2      0      8.5  китайский чай омск
      2      0      6.0  хэй ча название чая со строчной или заглавной
      2      0     11.0  саган-дайля купить в спб
      2      0      4.0  моли да бай хао сколько граммов на литр
      2      0     10.0  хуан чжи сян дань цун эффект
      2      0      9.5  пуэр вэй дэ хань ча дао
      2      0     11.0  саган заказать
      2      1     12.5  чайный сервиз с драконом
      2      0     11.5  как называется венчик для матчи
      2      0      7.0  матэ традиционный, traditional
      2      0     11.0  бай хао белый чай ворсистые
      2      1      2.0  владимир китайская чайная
      2      0      5.0  чайный магазин во владимире
      2      0     10.0  бурят чай рф
      2      0      3.0  гуанси хун мао фэн
      2      0     16.0  да хун пао красный халат
      2      0      3.0  фраза 野生红茶 老挝红 состоит из трёх частей: 野生红茶 — е шэн хун ча (дикорастущий красный чай). это чай, выращенный в дикой природе, а не на плантациях. 老挝 — лао я (лао я цай). это название конкретного сорта красного чая, который
      2      0      9.5  чен юнь пуэр
      2      0      4.5  guizhou huang cha
      2      0      5.0  хуан пянь
      2      0     11.5  иван чай американца из алтая джастас уокер купить
      2      0      8.5  где купить китайский чай в самаре
      2      0     11.0  исинский чайник как выбрать
      2      0     11.5  чай сандал дайля
      2      0     11.5  най сян цзинь сюань эффект
      2      0      4.0  колько илет чайная церермния
      2      0      5.0  сашан дайля купить
      2      0      5.5  байкальский чай саган дайля
      2      0      6.0  бай ча лун чжу
      2      0      8.0  набора инструментов для гун фу ча
      2      0     11.0  чай сагай
      2      0      4.0  китайский сосуд для питья
      2      0     11.5  саган даля
      2      0     10.0  название китайских чаев на китайском
      2      0      8.0  шу пуэр из уезда мэнхай
      2      0      8.0  ways магазин
      2      0     11.0  чай сиган дайля
      2      0      9.5  кокейча
      2      0     10.5  sama doyo чахай
      2      0      3.0  восточная сладость булан
      2      0     11.5  nai xiang jin xuan
      2      0     11.5  bonston чайник
      2      0     12.0  чай юа гуен бей
      2      0     11.5  каменный чай уи
      2      0      6.0  витаминный чай с бурятии
      2      0     11.5  как заваривать дянь хун золотые нити
      2      0      8.0  саган дайля байкал
      2      0      6.0  8886175 купить
      2      0      9.0  бай ча гун мэй
      2      1     25.0  хэй ча купить
      2      0     11.0  саган дали купить
      2      0      9.0  лао шу мэй
      2      0     12.0  чженьвей
      2      0     13.0  китайский чай воронеж купить kskvrn.com
      2      0      8.5  типод samadoyo
      2      0     11.0  лао бай ча чай эффект
      2      0     13.0  зеленый чай улитки
      2      0      5.5  taragui energia
      2      0      8.0  https://goldenmonkeytea.ru/product/chzhen-shan-syao-chzhun-fermerskij
      2      0      2.0  aqua mate органик
      2      0      7.5  есть ли в габе кофеин
      2      0     11.0  венчик для матча.
      2      0     13.5  шу пуэр точа старый товарищ
      2      0     11.0  трава в иркутске сайган
      2      0      8.5  чай молиджейн
      2      0     11.5  лао шу ча
      2      0      9.0  природный энергетик с байкала
      2      0     12.0  lao bai cha
      2      0      4.5  нефрит бараний жир фото
      2      0      8.0  купить хотанский нефрит бараний жир
      2      0      6.0  травка для чая с байкала
      2      0     11.0  купить чай фен хуан дань цун "фхдц"
      2      0      8.5  бань чжан лао 2008 357
      2      0     10.5  сянсиньцюань
      2      0     14.0  где купить чай в воронеже kskvrn.com
      2      0      7.5  samadoyo sag 08
      2      0     13.0  сайган дайля купить
      2      0     11.0  шу пуэр с цедрой мандарина
      2      0      8.5  чайничек bonston
      2      0      9.5  е шен бай ча
      2      0     10.0  gun mei
      2      0      8.5  ногинск вэйсти отзывы
      2      0      7.5  корица жоу гуй чай китайский
      2      0     12.0  чай сайган даля купить
      2      0     11.0  габа шань линь сы
      2      0     16.5  типод
      2      0     12.0  хуан чжи сян дань цунь или габа что лучше
      2      0     10.0  санган дайля чай
      2      0      8.5  сагаан дали в чай
      2      0     11.0  滇红 как заваривать
      2      0     13.5  цзинь сы дянь хун
      2      0     12.0  венчик для взбивания чая матча купить
      2      0      8.0  фен хуан дань цун фхдц
      2      0      1.5  магазин китайского чая во владимире
      2      0     12.5  чай саган даля
      2      0      1.0  чжэнхэский чай
      2      0      8.0  трава на байкале саган дайля
      2      0      1.0  владимир проспект строителей 9б waystea
      2      0      4.5  магазин чая во владимире
      2      0     13.0  пиалы с драконом бирюзового цвета
      2      0      8.0  матэгр
      2      0      6.0  august керамика чаша пиала
      2      0      7.0  магазин пуэра самара
      2      0     11.0  чай югуанбай
      2      0     11.0  чай китайский купить красноярск
      2      0      7.5  moli white tea
      2      0      6.5  темный улун даимон
      2      0     11.5  китайский чай золотой бутон
      2      0     11.5  красный чай как появился
      2      0      8.0  85 градусов чай это много или нет
      2      0     13.0  югуанбай чай купить
      2      0      2.0  гаосян бай ча какой сорт
      2      0      9.5  шу пуэр юность прекрасная хайвань
      2      0     10.5  чай матэ из аргентины от изготовителя
      2      0      9.0  алишань экстра габа
      2      0      5.5  пуэр в казани
      2      0      7.0  taragüï
      2      0      7.0  чай китайский шу пуэр гун тин "золотой бутон", 2012 г, 357 гр https://ozon.ru/t/dwfujmo
      2      0      8.5  разница да хун пао и фэн хуан дань цун где больше кофеина
      2      0      6.0  дянь хун ло чай
      2      0      4.0  моли да бай хао чай
      2      0     12.0  китайский чай пермь
      2      0      8.0  белый нефрит бараний жир стоимость
      2      0      4.5  ча хэ для чего
      1      0     12.0  саган лайля чай
      1      0     12.0  где в самаре купить китайский чай
      1      0      6.0  часэн купить
      1      0     34.0  матча премиум купить
      1      0      9.0  магазин китайского чая в уфе
      1      1     37.0  ба сян
      1      0     10.0  小青柑
      1      0     19.0  травяной чай саган дайля
      1      0      5.0  как пить чай из пиалы правильно
      1      0     11.0  сосуд справедливости
      1      0      9.0  шу пуэр брикет менхая дворцовый
      1      0      9.0  как держать пиалу с чаем
      1      0      9.0  как правильно пить из пиалы
      1      0      7.0  женьшеневый чай как пишется
      1      0     10.0  купить пиалу для чая солнечного желтого цвета и фиолетового цвета
      1      0     13.0  чайник бонстон
      1      0     13.0  сагандайля чай
      1      0     12.0  сагаан дали купить
      1      0     13.0  как выбрать чашку пиалу
      1      0      9.0  кокейчи
      1      0     11.0  магазин китайского чая уфа
      1      1      5.0  как перевести название чая картинка внутри
      1      0     12.0  най сян молочный
      1      0     11.0  сяо цин гань чай
      1      0     12.0  да лао чжуань
      1      0      8.0  бурятский чай саган дайля купить
      1      0     10.0  чай с саган дайля купить
      1      0     11.0  е шен бай ча купить
      1      0      9.0  светлый улун
      1      0     24.0  чай саган дайля цена в москве
      1      0     10.0  е шен
      1      0     13.0  купить напиток чайный растворимый из бурятских трав селенга бгсха
      1      0     12.0  саган даля купить
      1      0     18.0  саган дайли
      1      0      7.0  пуэр купить владимир
      1      0     11.0  бодрящий чай бурятия
      1      0     11.0  белый нефрит бараний жир
      1      0     10.0  как называется венчик для взбивания матчи
      1      0     12.0  кармоча чайная
      1      1      1.0  вейси чай владимире
      1      0      9.0  шу пуэр с мандарином
      1      0     44.0  лун цзин
      1      0     12.0  хуан чжи сян дань цун
      1      0     10.0  гао шань чай
      1      0      7.0  чай салам далай
      1      0      8.0  чай саган да
      1      0     10.0  японский чай кокейча
      1      0     17.0  купить лао бай ча в москве
      1      0      9.0  термос на веревке
      1      0      2.0  гао шань бай ча
      1      0     14.0  чай дайля
      1      0     10.0  чай шамана бурятия
      1      0     10.0  playadito
      1      0     12.0  русский чай иван чай с берегов байкала
      1      0     12.0  бурятские чаи
      1      0      9.0  моли джень чжу
      1      0     14.0  термос для китайского чая заваривания
      1      0      9.0  пуэрткитайский чай в зеленом мандарине дорогим ли считается
      1      0     11.0  чай бурятский саган дали
      1      0     11.0  чай е шен зеленый
      1      1      6.0  обзор по пуэр польза в науке
      1      0      3.0  хун ча эффект
      1      0      9.0  чай серебряные брови
      1      1      1.0  чай санонгудай
      1      0     10.0  бурятская трава
      1      0     10.0  байкальский рододендрон
      1      0      6.0  моли бай хао
      1      0     13.0  дахун пао купить
      1      1      3.0  мо ли сяо бай чай
      1      0     17.0  матча япония
      1      0      9.0  чай на байкале саган дали
      1      0      7.0  сун хун чай перевод на русский
      1      0     10.0  tea pod
      1      0     12.0  чай золотые нити
      1      0     13.0  юэ гуан бай "белый лунный свет"
      1      0      3.0  wise tea
      1      0      7.0  шу пуэр 7578
      1      0     14.0  как выбрать пиалку для чая
      1      0      7.0  хонга чай это
      1      0      5.0  сколько кофеина в красном чае
      1      0     13.0  саган-дайля купить в москве новый урожай
      1      0     10.0  расскажи про шу пуэр ся циань
      1      0     12.0  купить китайский чай в новосибирске
      1      0     10.0  сагаан дали бурятский чай купить
      1      0     28.0  типод для чая
      1      0     21.0  саган дайля омск
      1      0      6.0  гао шан чай
      1      0     12.0  юэ гуан бай чай купить
      1      0     10.0  купить набор гайвань с пиалами
      1      0     11.0  красный чай по китайски
      1      0     11.0  термос для заваривания чая с проливом
      1      0      2.0  карл космос чай с байкала саган
      1      0     22.0  чай лунный свет
      1      0      8.0  расшифровка китайского чая
      1      0     10.0  китайский чай красноярск
      1      0      7.0  саган-дали чай
      1      0      8.0  саган доля чай
      1      0     22.0  бурятские травы
      1      0      5.0  дянь хун и сяо чжун как пить проливами и заваривать
      1      0      7.0  аргентинский матэ
      1      0     12.0  где купить саган дайля
      1      0      9.0  как заваривать гун мей
      1      0      9.0  най сянь цзинь сюань
      1      0     11.0  kukicha
      1      0     13.0  китайский чай корица
      1      0     10.0  чай бурятский
      1      0     32.0  и шен ча красный чай
      1      0     24.0  китайский чай золотые спирали
      1      0      9.0  золотой бутон
      1      0     10.0  сахандаля чай
      1      0     22.0  саган дайля кофеин содержит ли
      1      0     16.0  лао шоу мэй чай купить
      1      0     17.0  купить матэ чай
      1      0     11.0  венчик часэн
      1      0     11.0  кукича чай это
      1      0      4.0  шай цин мао ча
      1      0      9.0  как выбрать исинский чайник
      1      0      7.0  хайвань 9978
      1      0      6.0  моли хуа да бай хао как заваривать
      1      0      8.0  сакандаля чай
      1      0     13.0  чай юэ гуан бай
      1      0     18.0  саган дайля купить оптом
      1      0     18.0  керамика жу яо
      1      0     11.0  с байкала саган
      1      0     11.0  чай во владимире
      1      0      5.0  моли да бай хао
      1      0     12.0  чай санан дайля
      1      0     13.0  венчик для матчи название
      1      0      8.0  золотые бутоны как заваривать
      1      0      6.0  уи жоу гуй чай
      1      0     11.0  саган дайля купить greelifee
      1      0      8.0  венчик для матчи brewriot.shop
      1      0     10.0  бурятский чай купить
      1      0     12.0  серебряные брови китайский чай
      1      0     10.0  чайная церемония сколько длится
      1      0      9.0  китайский чай воронеж
      1      0     10.0  е шен хун ча как заваривать
      1      0     10.0  саган дайлч чай
      1      0     10.0  чай бурятии
      1      1      2.0  чаепитие во владимире
      1      0     12.0  да хун пао большой красный халат
      1      0     16.0  е шен зеленый чай
      1      0      7.0  моли джен джу
      1      0     10.0  белый чай юэ гуан бай
      1      1      7.0  чай хун ча эффект
      1      0     13.0  китайский чай уфа
      1      0      8.0  гун мей
      1      0      4.0  как пить чай из пиалы
      1      0      9.0  разновидности матчи и производство
      1      0      7.0  сайлян далянь чай
      1      0     15.0  купить китайский чай казань
      1      0     13.0  чайник bonston
      1      0      7.0  чайные магазины во владимире
      1      0     41.0  чай тай пин хоу куй свойства
      1      0     15.0  lao bai cha чай
      1      0     11.0  сагаан дали байкал
      1      0     12.0  японская керамическая чайная чашка
      1      0     13.0  сагаан чай
      1      1      5.0  императорский пуэр блин
      1      0     10.0  есть ли кофеин в габбе?
      1      0      8.0  саган дай ля чай
      1      0     12.0  сагайделя чай
      1      0      8.0  чай 9978
      1      0     21.0  что такое красный чай китайский
      1      0      6.0  хуан чжи сян
      1      0     30.0  красный чай это какой
      1      0     13.0  чай гун мэй
      1      0     13.0  китайский чай купить в самаре
      1      0      9.0  дянь люй заваривание
      1      0     12.0  юэ гуан бай эффект
      1      0     11.0  老白茶
      1      0     12.0  как заваривать красный китайский чай
      1      0     10.0  чай е шен бай ча
      1      0     12.0  как заваривать е шен хун ча
      1      0     20.0  типот sama doyo bonston купить
      1      0      6.0  хайвань пуэр 7578 шэн
      1      0     12.0  купить чай саган дайля от производителя на вайлдберриз
      1      0     11.0  трава для чая с байкала
      1      0     10.0  керамика цзянь чжань пиала 95мл
      1      0     13.0  чайные фигурки купить драконы
      1      0     12.0  сагаан дали- бурятский чай купить
      1      0     11.0  дянь хун сун чжэнь сосновые иглы как заварить
      1      0     11.0  цзинь хао дянь хун купить
      1      0      7.0  чай мате liebig original 500 гр.
      1      0     11.0  гун мэй бай ча
      1      0      6.0  ча чун
      1      0      7.0  чай дандык
      1      0      6.0  как пить из пиалы
      1      0     15.0  чай в бурятии
      1      0     34.0  фхдц
      1      0      5.0  tea way
      1      0     11.0  где найти чай зеленый в 2024
      1      0     10.0  белый чай юэ гуан бай как заваривать
      1      0      8.0  китайский чай в перми
      1      0     22.0  чай дали
      1      0      8.0  чай сакандаляй
      1      0     37.0  купить чай байкал
      1      0      6.0  чай дхп
      1      0     10.0  молли чжень чжу
      1      0     12.0  ying hong jiu hao чай
      1      0      6.0  чай байкальский саган дайля
      1      0      4.0  шаньху хун ча
      1      0      6.0  купить пиалку а на дне пиалки нарисован дракон
      1      0      7.0  чай гуанси
      1      0      4.0  большой темный лист чай
      1      0     21.0  термос для заваривания китайского чая
      1      0     36.0  дянь хун мао фэн чай
      1      0     13.0  купить чай саган дайля в улан-удэ
      1      0      8.0  大红袍 чай
      1      0      9.0  разлом шен пуэр сапфировый дракон
      1      0      9.0  чайная владимир
      1      0      9.0  саган дайл
      1      0      9.0  松针
      1      0     10.0  дянь люй
      1      0     12.0  саган дайля бурятия
      1      1      4.0  какой чай заваривать в исинском чайнике
      1      0     11.0  кокейча чай что
      1      0     13.0  стеклянная колба для заваривания чая
      1      0     11.0  сага да ле чай
      1      0      8.0  бурятская трава в чай
      1      0      5.0  трава байкала саган дайля
      1      0     12.0  китайский чай в красноярске
      1      0      1.0  вейсти
      1      0     13.0  салган дайля чай
      1      0     12.0  саган дайля чай купить в иркутске
      1      0      9.0  юэ гуанбай
      1      0      5.0  как держать пиалу
      1      0     13.0  золотые нити чай
      1      0      9.0  сагаан дали- бурятский чай официальный
      1      0     11.0  купить китайский чай в красноярске
      1      1      2.0  драконьи чайники как из чешуи россия
      1      0      5.0  пиала с изображением кошки
      1      0      6.0  жуань хунмао, руань хунчан, жуань линфэн, (семьи жуань)
      1      1      2.0  знаменитые чашки
      1      0     11.0  автоматический чайный сервиз
      1      0      8.0  габа алишань экстра купить
      1      0      6.0  tea way чай
      1      0     32.0  тай пин хоу куй
      1      0     13.0  китай чахай фарфор
      1      0     15.0  нефритовая пиала для чая
      1      0     11.0  лао шоу мэй чай это
      1      0     11.0  шу пуэр 9978 хайвань
      1      0      8.0  шу пуэр звездочка
      1      0     12.0  чай золотой бутон
      1      0      5.0  чай владимир
      1      0     44.0  дянь хун мао фэн эффект
      1      0      6.0  чай из стеблей
      1      1      9.0  габа алишань экстра
      1      0     10.0  чашка пиала для японской чайной церемонии
      1      0     12.0  купить китайский чай в уфе
      1      1      6.0  сайга дайля чай
      1      0     22.0  бай хао инь чжень
      1      0     12.0  как называется венчик для матча
      1      0     10.0  чай гунмэй как заваривать
      1      0      5.0  чай playadito
      1      0      8.0  зелёная улитка
      1      0      4.0  сунло
      1      1      6.0  гаосянь бай ча из фэнцин
      1      0     39.0  е шен гу шу бай ча
      1      0      8.0  китайский чай в омске
      1      0      7.0  ча хэ это
      1      0      7.0  инь цзюнь мэй
      1      0      3.0  зеленый мандарин пуэр
      1      0      5.0  типот sama doyo
      1      1      2.0  wastea владимир
      1      0      8.0  чабанью с керамических изделий
      1      0     15.0  чай далай саган
      1      0     12.0  бурятский чай с чабрецом
      1      0      6.0  есть в краснодаре чай саган дал
      1      0     11.0  как получается красный чай
      1      0     25.0  сааган дайля купить новый урожай
      1      0      8.0  как правильно пить чай из пиалы
      1      0      8.0  чай байкальский
      1      0      5.0  gao shan чай
      1      0     11.0  чайник заварочный samadoyo с фильтром и клапаном
      1      0     12.0  чайный день владимир
      1      0     26.0  дин пик что это
      1      0      8.0  пуэр шен 2007 нянь няо цяо
      1      0     32.0  красный чай дянь хун мао фэн
      1      0     12.0  саган-дайля чай купить в иркутске
      1      0     16.0  купить китайский чай пермь
